Sentence;Word;Tag
1;Penulis:;
1;Vika;B-per
1;Azkiya;I-per
1;Dihni;I-per
1;Editor:;
1;Aria;B-per
1;W.;
2;Yudhistira;I-per
2;11/1/2022,;B-tim
2;10.20;I-tim
2;"WIB

Luas";
2;areal;
2;kebakaran;
2;hutan;
2;dan;
2;lahan;
2;(karhutla);
2;di;
2;Indonesia;B-geo
2;sepanjang;
2;2021;B-tim
2;meningkat;
2;dibandingkan;
2;pada;
2;2020.;B-tim
3;Berdasarkan;
3;data;
3;Kementerian;B-org
3;Lingkungan;I-org
3;Hidup;I-org
3;dan;
3;Kehutanan;I-org
3;(KLHK),;I-org
3;hutan;
3;dan;
3;lahan;
3;yang;
3;terbakar;
3;di;
3;Indonesia;B-geo
3;mencapai;
3;354.582;B-qty
3;hektare;I-qty
3;(ha);I-qty
3;atau;
3;mengalami;
3;peningkatan;
3;19,4%;
3;dibandingkan;
3;296.942;B-qty
3;ha;I-qty
3;pada;
3;2020.;B-tim
4;"
KLHK";B-org
4;mencatat,;
4;Nusa;B-geo
4;Tenggara;I-geo
4;Timur;I-geo
4;(NTT);I-geo
4;merupakan;
4;provinsi;
4;yang;
4;terdampak;
4;karhutla;
4;paling;
4;besar;
4;sepanjang;
4;2021,;B-tim
4;yakni;
4;137.297;B-qty
4;ha.;I-qty
5;Nusa;B-geo
5;Tenggara;I-geo
5;Barat;I-geo
5;(NTB);I-geo
5;berada;
5;di;
5;ururtan;
5;kedua;
5;dengan;
5;karhutla;
5;seluas;
5;100.908;B-qty
5;ha.;I-qty
6;"
Sementara";
6;itu,;
6;Banten,;B-geo
6;DKI;B-geo
6;Jakarta,;B-geo
6;dan;
6;DI;B-geo
6;Yogyakarta;I-geo
6;merupakan;
6;provinsi;
6;yang;
6;tidak;
6;terdampak;
6;karhutla.;
7;Kemudian;
7;luas;
7;karhutla;
7;di;
7;Bali;B-geo
7;hanya;
7;3;B-qty
7;ha;I-qty
7;sepanjang;
7;tahun;
7;lalu.;
8;"
Secara";
8;kumulatif;
8;sejak;
8;2016;B-tim
8;hingga;
8;2021,;B-tim
8;3,43;B-qty
8;juta;I-qty
8;ha;I-qty
8;hutan;
8;dan;
8;lahan;
8;telah;
8;terbakar;
8;di;
8;Indonesia.;B-geo
9;Karhutla;
9;tahunan;
9;terburuk;
9;terjadi;
9;pada;
9;tahun;
9;2019;B-tim
9;yang;
9;membakar;
9;1,6;B-qty
9;juta;I-qty
9;ha;I-qty
9;hutan;
9;dan;
9;lahan;
9;di;
9;Tanah;
9;Air.;
10;"
Jika";
10;dilihat;
10;secara;
10;tren,;
10;karhutla;
10;yang;
10;terjadi;
10;di;
10;Indonesia;B-geo
10;cenderung;
10;fluktatif.;
11;Pada;
11;2016,;B-tim
11;terjadi;
11;karhutla;
11;seluas;
11;438.363,19;B-qty
11;ha.;I-qty
12;Pada;
12;2017,;B-tim
12;terjadi;
12;penurunan;
12;karhutla;
12;mencapai;
12;165.483,92;B-qty
12;ha;I-qty
12;atau;
12;turun;
12;62%.;B-qty
13;"
Kemudian";
13;pada;
13;2018;B-tim
