id,screen_name,text,clean_text,dt,label_id,is_predict,label_name,label,Desc
23,kumparan,"Untuk mencegah terjadinya kebakaran hutan dan lahan di Sumatera Selatan, Pemprov Sumsel menetapkan status siaga karhutla sejak 19 April 2022 hingga November 2022. #kumparanNEWS https://t.co/5n2wjU0f4c",cegah jadi bakar hutan lahan sumatera selatan pemprov sumsel tetap status siaga karhutla sejak april hingga november kumparannews,2022-06-22 7:03:12,1,1,pencegahan,kebakaran,
42,updatebalii,"Kebakaran hutan dan lahan (karhutla) hingga kini masih mengintai meskipun berbagai upaya sudah dilakukan oleh para pemangku kepentingan di Tanah Air. #karhutla #PadamkanKebakaran #TeknologiTerkini #updatebali

https://t.co/yOqKMn9NgW https://t.co/9bUUDc4hXw",bakar hutan lahan karhutla hingga kini intai meski bagai upaya laku para mang penting tanah air karhutla padamkankebakaran teknologiterkini updatebali,2022-06-22 10:57:45,1,1,pencegahan,kebakaran,
26,beritaindo,Sumsel siapkan ribuan personel mitigasi karhutla 2022 https://t.co/gXpWYJvZSC,sumsel siap ribu personel mitigasi karhutla,2022-06-22 7:26:23,2,1,kebakaran,mitigasi,
1,kompascom,"Petugas berpatroli ke kawasan hutan dan lahan untuk mencegah terjadinya karhutla. Di tengah ekstremnya medan, tim bertemu seekor rusa jinak. https://t.co/HmP5MMpFLb",tugas patroli kawasan hutan lahan cegah jadi karhutla tengah ekstrem medan tim temu ekor rusa jinak,2022-06-22 0:55:44,1,1,pencegahan,pencegahan,
5,GATRA_com,"Masalah Karhutla di Muba Makin Urgen, Pemkab Kebut Bangun Sodetan 18 Kilometer

https://t.co/m2BYEl9j91",masalah karhutla muba makin urgen pemkab kebut bangun sodet kilometer,2022-06-22 1:32:02,1,1,pencegahan,pencegahan,
9,korem044gapo,"Kasrem 044/Gapo Kolonel Inf Grandy Mangiwa Menghadiri Apel Kesiapsiagaan Personil dan Peralatan Penanggulangan Karhutla Tahun 2022 di Wilayah Prov Sumsel yang dipimpin Gubernur Prov Sumsel H. Herman Deru, S.H., M.M. Bertempat di Halaman Griya Agung, Rabu (22/6/2022). https://t.co/PUdsw4YlpY",kasrem gapo kolonel inf grandy mangiwa hadir apel kesiapsiagaan personil alat tanggulang karhutla tahun wilayah prov sumsel pimpin gubernur prov sumsel h herman deru sh mm tempat halaman griya agung rabu,2022-06-22 3:42:56,2,1,kebakaran,pencegahan,
10,antaranews,"BMKG keluarkan peringatan dini potensi karhutla di sebagian besar wilayah Nusa Tenggara Timur.

https://t.co/pyuYqzRvPJ",bmkg keluar ingat dini potensi karhutla bagi besar wilayah nusa tenggara timur,2022-06-22 3:49:22,1,1,pencegahan,pencegahan,
11,kodim0313kpr,SERMA MUHAR DAN BHABINKAMTIBMAS RUTIN PATROLI KARHUTLA https://t.co/H2DDJ5bZI9,serma muhar bhabinkamtibmas rutin patroli karhutla,2022-06-22 3:57:49,2,1,kebakaran,pencegahan,
12,voidotid,BMKG mengeluarkan peringatan dini potensi kebakaran hutan dan lahan (karhutla) di sebagian besar wilayah Nusa Tenggara Timur (NTT). https://t.co/QLdNZraqHR,bmkg keluar ingat dini potensi bakar hutan lahan karhutla bagi besar wilayah nusa tenggara timur ntt,2022-06-22 4:13:52,1,1,pencegahan,pencegahan,
14,lu_lu_cute,RT @voidotid: BMKG mengeluarkan peringatan dini potensi kebakaran hutan dan lahan (karhutla) di sebagian besar wilayah Nusa Tenggara Timur…,bmkg keluar ingat dini potensi bakar hutan lahan karhutla bagi besar wilayah nusa tenggara timur,2022-06-22 4:18:24,1,1,pencegahan,pencegahan,
